"Please enter a transaction ID to authorize this payment.","Пожалуйста, введите ИД транзакции, чтобы авторизовать этот платёж."
"Something went wrong: the paid amount doesn\'t match the order amount. Please correct this and try again.","Что-то пошло не так: оплаченная сумма не совпадает с суммой в заказе. Пожалуйста, исправьте это и попробуйте снова."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 транзакция одобрена. Сумма %2. Статус транзакции ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 транзакция была пропущенна или отклонена. Статус транзакции ""%2"". Сумма %3."
"Authorize Only","Только авторизовать"
"Authorize and Capture","авторизовать и снять"
"Unable to get transaction details. Try again later.","Невозможно получить подробности транзакции. Повторите попытку позже."
"Credit Card Type","Тип кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Expiration Date","Дата окончания срока действия"
"Card Verification Number","Проверочный код карты"
"Fraud Detection ","Обнаружение мошенничества "
"FDS Filter Action","Действие фильтра FDS"
"AVS Response","Ответ AVS"
"Card Code Response","Ответ Card Code"
"CAVV Response","Ответ CAVV"
"Fraud Filters","фильтр мошенничества "
"Place Order","Оформить заказ"
"Authorize.net Direct Post","Authorize.net Direct Post"
Enabled,Включено
"Payment Action","Действие оплаты"
Title,Заголовок
"API Login ID","API Login ID"
"Transaction Key","Ключ транзакции"
"Merchant MD5","MD5 кеш продавца"
"New Order Status","Статус нового заказа"
"Test Mode","Тестовый режим"
"Gateway URL","URL шлюза"
"Transaction Details URL","URL описания транзакции"
"Accepted Currency","Принимаемая валюта"
Debug,Отладка
"Email Customer","Оповестить клиента"
"Merchant's Email","Email продавца"
"Credit Card Types","Типы кредитных карт"
"Credit Card Verification","Проверка кредитной карты"
"Payment from Applicable Countries","Оплата из доступных стран"
"Payment from Specific Countries","Оплата из выбранных стран"
"Minimum Order Total","Минимальная сумма заказа"
"Maximum Order Total","Максимальная сумма заказа"
"Sort Order","Порядок сортировки"
"Invalid Form Key. Please refresh the page.","Неверный ключ формы. Пожалуйста, обновите страницу."
"You entered an invalid Secret Key. Please refresh the page.","Вы ввели неправильный секретный ключ. Пожалуйста, обновите страницу."
"Cache Storage Management","Управление хранилищем кэша"
"Flush Magento Cache","Очистить кэш Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Хранилище кэша может содержать и другие данные. Вы действительно хотите его полностью очистить?"
"Flush Cache Storage","Очистить хранилище кэша"
Invalidated,Недействительно
Orders,Заказы
Amounts,Доход
Bestsellers,"Хиты продаж"
"Most Viewed Products","Самые просматриваемые товары"
"New Customers","Новые клиенты"
Customers,Клиенты
Customer,Клиент
Guest,Гость
Items,Позиции
Total,Итого
"Lifetime Sales","Всего продаж"
"Average Order","Средняя сумма заказа"
Average,"В среднем"
Product,Товар
Price,Цена
Quantity,Количество
Views,Просмотры
Revenue,Доход
Tax,Налог
Shipping,Доставка
"Images (.gif, .jpg, .png)","Изображения (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Медиа (.avi, .flv, .swf)"
"All Files","Все файлы"
"Reset to Default",Восстановить
"All Store Views","Все витрины"
"What is this?","Что это?"
"Save Account",Сохранить
"My Account","Моя учётная запись"
"Account Information","Данные учётной записи"
"User Name","Имя пользователя"
"First Name",Имя
"Last Name",Фамилия
Email,"Электронная почта"
"User Email","Email пользователя"
"New Password","Новый пароль"
"Password Confirmation","Подтверждение пароля"
"Interface Locale","Язык интерфейса"
"Current User Identity Verification","Проверка прав текущего пользователя"
"Your Password","Ваш пароль"
"Save Cache Settings","Сохранить настройки кэша"
"Catalog Rewrites","Переадресация в каталоге"
Refresh,Обновить
"Images Cache","Кэш изображений"
Clear,Очистить
"Search Index","Поисковый индекс"
Rebuild,Перестроить
"Inventory Stock Status","Статусы наличия товара"
"Rebuild Catalog Index","Перестроить индекс каталога"
"Rebuild Flat Catalog Category","Перестроить каталог с горизонтальной (flat) структурой хранения"
"Rebuild Flat Catalog Product","Перестроить товары с горизонтальной (flat) структурой хранения"
"Cache Control","Управление кэшем"
"All Cache","Весь кэш"
"No change","Без изменений"
Disable,Отключить
Enable,Включить
"Add Design Change","Добавить изменение дизайна"
Back,Вернуться
Delete,Удалить
"Are you sure?","Вы уверены?"
Save,Сохранить
"Edit Design Change","Редактирование Изменения дизайна"
"New Store Design Change","Новое изменение дизайна для магазина"
"General Settings","Основные настройки"
Store,Магазин
"-- Please Select --","-- Выберите --"
"Custom Design","Индивидуальный дизайн"
"Date From","Дата с"
"Date To","Дата по"
"Design Change","Изменение дизайна"
General,Основное
Cancel,Отменить
"Delete %1 '%2'","Удалить %1 '%2'"
"Delete %1","Удалить %1"
"Block Information","Информация о блоке"
"Backup Options","Параметры архивной копии"
"Create DB Backup","Создать резервную копию БД"
Yes,Да
No,Нет
"Delete Store","Удалить магазин"
"Delete Web Site","Удалить сайт"
"Save Web Site","Сохранить сайт"
"Save Store","Сохранить магазин"
"Save Store View","Сохранить витрину"
"Delete Store View","Удалить витрину"
"Edit Web Site","Изменить сайт"
"New Web Site","Новый сайт"
"Edit Store","Изменить магазин"
"New Store","Новый магазин"
"Edit Store View","Изменить витрину"
"New Store View","Новая витрина"
"Store Information","Информация о магазине"
"Web Site",Сайт
Name,Название
"Root Category","Корневая категория"
"Default Store View","Представление магазина по умолчанию"
"Store View Information","Информация о представлении магазина"
Code,Код
Status,Статус
Disabled,Отключено
Enabled,Включено
"Sort Order","Порядок сортировки"
"Web Site Information","Информация о сайте"
"Default Store","Магазин по умолчанию"
"Set as Default","Установить значением по умолчанию"
Stores,Магазины
"Create Website","Создать сайт"
"Create Store","Создать магазин"
"Create Store View","Создать витрину"
Home,Главная
Reset,Сбросить
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
"Add New Image","Добавить новое изображение"
"Export block for grid %1 is not defined","Export block for grid %1 is not defined"
"Reset Filter","Сбросить фильтр"
Search,Поиск
Any,Любое
"All Countries","Все страны"
From,С
To,По
"Date selector","Выбор даты"
"[ deleted ]","[ удалено ]"
"Select All","Выбрать все"
" [deleted]"," [удалено]"
"We couldn\'t find any records.","Мы не смогли найти никаких записей."
"Add New","Добавить новый"
"Invalid export type supplied for grid export block","Invalid export type supplied for grid export block"
Export,Экспорт
"Please correct the column format and try again.","Пожалуйста, исправьте формат столбца и попробуйте снова."
"Please select items.","Пожалуйста, выберите позиции."
Submit,Отправить
"Unknown block type","Неизвестный тип блока"
"Please correct the tab configuration and try again. Tab Id should be not empty","Please correct the tab configuration and try again. Tab Id should be not empty"
"Please correct the tab configuration and try again.","Please correct the tab configuration and try again."
"You have logged out.","Вы вышли из системы."
"Specified cache type(s) don\'t exist: %1","Указанный тип кэша не существует: %1"
"The image cache was cleaned.","Кэш изображений очищен."
"An error occurred while clearing the image cache.","Ошибка при очистке кэша изображений."
"The JavaScript/CSS cache has been cleaned.","Кэш JavaScript/CSS очищен."
"An error occurred while clearing the JavaScript/CSS cache.","Ошибка при очистке кэша JavaScript/CSS."
"The static files cache has been cleaned.","Кэш статичных файлов очищен."
"You flushed the cache storage.","Вы очистили хранилище кэша."
"The Magento cache storage has been flushed.","Хранилище кэша Magento очищено."
"Cache Management","Управление кэшем"
"%1 cache type(s) disabled.","Типов кэша отключено: %1 шт."
"An error occurred while disabling cache.","Ошибка при отключении кэша."
"%1 cache type(s) enabled.","Типов кэша включено: %1 шт."
"An error occurred while enabling cache.","Ошибка при включении кэша."
"%1 cache type(s) refreshed.","Типов кэша обновлено: %1 шт."
"An error occurred while refreshing cache.","Ошибка при обновлении кэша."
Dashboard,"Панель управления"
"We updated lifetime statistic.","Статистика за весь период обновлена."
"We can\'t refresh lifetime statistics.","Невозможно обновить статистику за весь период."
"invalid request","некорректный запрос"
"see error log for details","ищите подробности в журнале ошибок"
"Service unavailable: %1","Сервис недоступен: %1"
Error,Ошибка
"Access Denied.","Доступ запрещён."
"You need more permissions to do this.","Вам нужно больше прав для этого действия."
"No search modules were registered","Нет зарегистрированных модулей поиска"
"Please make sure that all global admin search modules are installed and activated.","Пожалуйста, убедитесь, что все глобальные модули административного поиска установлены и активированы."
"You saved the account.","Вы сохранили учётную запись."
"An error occurred while saving account.","Ошибка при сохранении учётной записи."
"You deleted the design change.","Вы удалили Изменение дизайна."
"You can't delete the design change.","Вы не можете удалить изменение дизайна."
"Store Design","Дизайн магазина"
"Edit Store Design Change","Редактирование Изменения дизайна для магазина"
"You saved the design change.","Вы сохранили Изменение дизайна."
System,Система
"Manage Stores",Магазины
"The database was backed up.","Резервная копия базы данных создана."
"We can\'t create a backup right now. Please try again later.","Мы не можем создать резервную копию в данный момент. Пожалуйста, повторите попытку позже."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1."
"Something went wrong. Please try again.","Что-то пошло не так. Пожалуйста, попробуйте снова."
"This store cannot be deleted.","Невозможно удалить этот магазин."
"You deleted the store.","Вы удалили магазин."
"Unable to delete the store. Please try again later.","Unable to delete the store. Please try again later."
"This store view cannot be deleted.","Невозможно удалить эту витрину."
"Store View","Представление магазина"
"You deleted the store view.","Вы удалили витрину."
"Unable to delete the store view. Please try again later.","Unable to delete the store view. Please try again later."
"This website cannot be deleted.","Невозможно удалить этот сайт."
"You deleted the website.","Вы удалили сайт."
"Unable to delete the website. Please try again later.","Unable to delete the website. Please try again later."
"The website does not exist.","Сайт не существует."
"Before modifying the website code please make sure it is not used in index.php.","Перед изменением кода сайта убедитесь, что он не используется на в файле index.php."
"The store does not exist","Магазин не существует"
"Store view doesn't exist","Витрина не существует"
"Before modifying the store view code please make sure it is not used in index.php.","Перед изменением кода витрины убедитесь, что он не используется в файле index.php."
"New ","Новый "
"You saved the website.","Вы сохранили сайт."
"You saved the store.","Вы сохранили магазин."
"You saved the store view.","Вы сохранили витрину."
"Something went wrong while saving. Please review the error log.","Что-то пошло не так во время сохранения. Пожалуйста, проверьте журнал ошибок."
"Last 24 Hours","Последние 24 часа"
"Last 7 Days","Последние 7 дней"
"Current Month","Текущий месяц"
YTD,"С начала года"
2YTD,"С начала прошлого года"
"Authentication storage is incorrect.","Проверка магазина некорректна."
"You did not sign in correctly or your account is temporarily disabled.","Вы ввели некорректные данные или ваша учётная запись временно заблокирована."
"Authentication error occurred.","Ошибка аутентификации."
"Admin session lifetime must be less than or equal to 31536000 seconds (one year)","Время сеанса администратора должно быть меньше или равна 31536000 секунд(год)"
"Admin session lifetime must be greater than or equal to 60 seconds","ремя сеанса администратора должно быть больше или равна 60 секундам"
Order,Заказ
"Order #%1","Заказ #%1"
"Access denied","Доступ запрещён"
"Please try to sign out and sign in again.","Пожалуйста, попробуйте выйти и авторизоваться снова."
"If you continue to receive this message, please contact the store owner.","Если вы продолжите получать это сообщение, пожалуйста, свяжитесь с владельцем магазина."
"You need more permissions to access this.","Вам нужно больше прав для доступа сюда."
"Welcome, please sign in","Добро пожаловать. Пожалуйста, авторизуйтесь"
Username,"Имя пользователя"
"user name","Имя пользователя"
Password,Пароль
password,Пароль
"Sign in",Войти
"Select Range:","Выберите диапазон:"
"No Data Found","Данные не найдены"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Диаграмма отключена. Если вы хотите включить графики, нажмите <a href=""%1"">сюда</a>."
"Last Orders","Последние заказы"
"Last Search Terms","Последние поисковые запросы"
"Top Search Terms","Популярные поисковые запросы"
"There are no search keywords.","There are no search keywords."
"View Statistics For:","Просмотр статистики для:"
"All Websites","Все сайты"
"Reload Data","Обновить данные"
"Browse Files...","Просмотреть файлы..."
Magento,Magento
"Copyright&copy; %1 Magento Commerce Inc. All rights reserved.","Copyright&copy; %1 Magento Commerce Inc. Все права защищены."
"ver. %1","вер. %1"
"Magento Admin Panel","Панель администрирования"
"Account Setting","Настройки учётной записи"
"Customer View","Перейти на основной сайт"
"Sign Out",Выйти
"About the calendar","О календаре"
Close,закрыть
"Go Today",Сегодня
Previous,Предыдущий
Next,Следующий
WK,WK
Time,Время
Hour,Час
Minute,Минута
"JavaScript may be disabled in your browser.","Возможно JavaScript отключён в вашем браузере."
"To use this website you must first enable JavaScript in your browser.","Чтобы использовать этот сайт, вы должны сначала включить JavaScript в вашем браузере."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Это демонстрационный магазин. Любые заказы, оформленные на этом сайте, не будут обработаны или выполнены."
"Report Bugs","Сообщайте об ошибках"
"Store View:","Область действия:"
"Stores Configuration","Настройка магазинов"
"Please confirm scope switching. All data that hasn\'t been saved will be lost.","Пожалуйста, подтвердите смену области действия. Все несохранённые данные будут утеряны."
"Additional Cache Management","Дополнительное управление кэшем"
"Flush Catalog Images Cache","Очистить кэш изображений каталога"
"Pregenerated product images files","Заранее созданные файлы изображений товаров"
"Flush JavaScript/CSS Cache","Очистить кэш JavaScript/CSS"
"Themes JavaScript and CSS files combined to one file","Themes JavaScript and CSS files combined to one file"
"Flush Static Files Cache","Очистить кэш статичный файлов"
"Preprocessed view files and static files","Предварительно обработанные файлы отображения и статичные файлы"
Catalog,Каталог
JavaScript/CSS,JavaScript/CSS
"JavaScript/CSS Cache","Кэш JavaScript/CSS"
"No records found.","Записей не найдено."
Images,Изображения
"Big Image","Большое изображение"
Thumbnail,Мини-изображение
"Additional Settings","Дополнительные настройки"
"records found","записей найдено"
selected,выбрано
"per page","на странице"
"Previous page","Предыдущая страница"
"of %1","из %1"
"Next page","Следующая страница"
"Export to:","Экспортировать в:"
Actions,Действия
"Mass Actions","Массовые действия"
"Unselect All","Снять все"
"Select Visible","Выбрать видимые"
"Unselect Visible","Снять выбор с видимых"
"Changes have been made to this section that have not been saved.","В этой секции были сделаны изменения, которые ещё не сохранены."
"This tab contains invalid data. Please resolve this before saving.","Эта закладка содержит неверные данные. Пожалуйста, решите проблему перед сохранением."
"The information in this tab has been changed.","Информация на этой закладке была изменена."
Loading...,Загружается...
"We could not detect a size.","Мы не можем определить размер."
"We don\'t recognize or support this file extension type.","Мы не распознали или не поддерживаем тип расширения этого файла."
"Allow everything","Разрешить все"
"Magento Admin",Администратор
"Global Search","Глобальный поиск"
Marketing,Маркетинг
"SEO & Search","SEO и Поиск"
"User Content","Пользовательский контент"
Content,Содержимое
Elements,Элементы
Design,Дизайн
Schedule,Расписание
Settings,Настройки
"All Stores","Все магазины"
Attributes,Атрибуты
"Other Settings","Другие настройки"
"Data Transfer","Обмен данными"
"Magento Connect","Менеджер расширений"
"Connect Manager","Connect Manager"
"Package Extensions","Создание пакетов расширений"
Tools,Иструменты
"Web Setup Wizard","Помощник установки"
Currency,Валюта
Communications,Коммуникации
Services,Сервисы
Advanced,Расширенные
"Disable Modules Output","Отключение вывода модулей"
"Store Email Addresses","Email адреса"
"Custom Email 1","Дополнительный адрес 1"
"Sender Email","Адрес отправителя (email)"
"Sender Name","Имя отправителя"
"Custom Email 2","Дополнительный адрес 2"
"General Contact","Основной контактный адрес"
"Sales Representative","Представитель по продажам"
"Customer Support","Служба поддержки"
Developer,Разработчик
Debug,Отладка
"Enabled Template Path Hints for Storefront","Enabled Template Path Hints for Storefront"
"Enabled Template Path Hints for Admin","Enabled Template Path Hints for Admin"
"Add Block Names to Hints","Добавлять названия блоков к подсказкам"
"Template Settings","Настройки шаблона"
"Allow Symlinks","Разрешить символические ссылки"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Внимание! Не рекомендуется включать эту функцию на рабочем сервере, так как существует потенциальный риск безопасности."
"Minify Html","Уменьшить размер Html"
"Minification is not applied in developer mode.","Minification is not applied in developer mode."
"Translate Inline","Построчный перевод"
"Enabled for Storefront","Включено для пользовательской части"
"Enabled for Admin","Включено для панели администрирования"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Для использования функции построчного перевода необходимо отключить кэши переводов, блоков и другие кэши, влияющие на вывод данных. Актуально как при переводе пользовательской части, так и панели администрирования."
"JavaScript Settings","Настройки JavaScript"
"Merge JavaScript Files","Объединить файлы JavaScript"
"Enable JavaScript Bundling","Enable JavaScript Bundling"
"Minify JavaScript Files","Уменьшить размер JavaScript файлов"
"CSS Settings","Настройки CSS"
"Merge CSS Files","Объединить файлы CSS"
"Minify CSS Files","Уменьшить размер CSS файлов"
"Image Processing Settings","Image Processing Settings"
"Image Adapter","Image Adapter"
"Static Files Settings","Static Files Settings"
"Sign Static Files","Sign Static Files"
"Country Options","Параметры для стран"
"Allow Countries","Разрешённые страны"
"Default Country","Страна по умолчанию"
"European Union Countries","Страны Европейского союза"
"Top destinations","Приоритетные страны"
"Locale Options","Параметры локализации"
Timezone,"Часовой пояс"
Locale,Локализация
"First Day of Week","Первый день недели"
"Weekend Days","Выходные дни недели"
"Store Name",Название
"Store Phone Number",Телефон
"Store Hours of Operation","Время работы"
Country,Страна
Region/State,Регион
"ZIP/Postal Code","Почтовый индекс"
City,Город
"Street Address",Адрес
"Street Address Line 2","Адрес строка 2"
"VAT Number","Номер плательщика НДС"
"Single-Store Mode","Упрощённый режим"
"Enable Single-Store Mode",Включить
"This setting will not be taken into account if system has more than one store view.","Эта настройка не будет учитываться, если в системе больше одной витрины."
"Mail Sending Settings","Настройки отсылки электронных писем"
"Disable Email Communications","Отключение сообщений электронной почты"
Host,Хост
"Port (25)","Порт (25)"
"Set Return-Path","Установить Return-Path"
"Return-Path Email","Return-Path письма"
Admin,"Панель администрирования"
"Admin User Emails","Почтовые адреса пользователей панели администрирования"
"Forgot Password Email Template","Письмо о забытом пароле. Шаблон"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Если выбрано значение по умолчанию, шаблон будет зависеть от используемой темы оформления."
"Forgot and Reset Email Sender","Forgot and Reset Email Sender"
"Startup Page","Начальная страница"
"Admin Base URL","Базовый URL панели администрирования"
"Use Custom Admin URL","Использовать другой адрес (URL) для панели администрирования"
"Custom Admin URL","Нестандартный адрес (URL) для панели администрирования"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Пожалуйста убедитесь, что базовый URL заканчивается на '/' (косую черту). Например http://yourdomain/magento/"
"Use Custom Admin Path","Использовать другой путь для панели администрирования"
"Custom Admin Path","Нестандартный путь для панели администрирования"
"You will have to sign in after you save your custom admin path.","You will have to sign in after you save your custom admin path."
Security,Безопасность
"Recovery Link Expiration Period (hours)","Recovery Link Expiration Period (hours)"
"Please enter a number 1 or greater in this field.","Пожалуйста, введите в это поле число не меньше 1."
"Add Secret Key to URLs","Добавлять секретный ключ к ссылкам (URLs)"
"Login is Case Sensitive","Имя пользователя (Login) - регистрозависимое"
"Admin Session Lifetime (seconds)","Длительность сеанса в панели администрирования (в секундах)"
"Please enter at least 60 and at most 31536000 (one year).","Please enter at least 60 and at most 31536000 (one year)."
"Enable Charts","Включить графики"
Web,Веб
"Url Options","Параметры URL"
"Add Store Code to Urls","Добавлять код магазина к ссылкам (URLs)"
"
                        <strong style=""""color:red"""">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).
                    
                    ","<strong style=""color:red"">Внимание!</strong> При использовании кода магазина в URL, система может работать некорректно, если в сторонних сервисах (PayPal и т.п.) указан URL без кода магазина.
                    "
"Auto-redirect to Base URL","Авто-перенаправление на базовый URL"
"Search Engine Optimization","Оптимизация в поисковых системах (SEO)"
"Use Web Server Rewrites","Использовать Web Server Rewrites"
"Base URLs","Базовые URLs"
"Base URL","Базовый URL"
"Specify URL or {{base_url}} placeholder.","Specify URL or {{base_url}} placeholder."
"Base Link URL","Базовый URL для ссылок"
"Base URL for Static View Files","Базовый URL для статических файлов"
"May be empty or start with {{unsecure_base_url}} placeholder.","May be empty or start with {{unsecure_base_url}} placeholder."
"Base URL for User Media Files","Базовый URL для медиа"
"Base URLs (Secure)","Базовые URLs (безопасные)"
"Secure Base URL","Базовый защищённый URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder."
"Secure Base Link URL","Secure Base Link URL"
"Secure Base URL for Static View Files","Secure Base URL for Static View Files"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder."
"Secure Base URL for User Media Files","Secure Base URL for User Media Files"
"Use Secure URLs on Storefront","Использовать защищённые URL в пользовательской части"
"Use Secure URLs in Admin","Использовать защищённые URL в панели администрирования"
"Enable HTTP Strict Transport Security (HSTS)","Enable HTTP Strict Transport Security (HSTS)"
"Upgrade Insecure Requests","Upgrade Insecure Requests"
"Offloader header","Заголовок Offloader"
"Default Pages","Страницы по умолчанию"
"Default Web URL","Web URL по умолчанию"
"Default No-route URL","URL по умолчанию в случае отсутствия страницы"
"Session Validation Settings","Настройки проверки сеанса"
"Validate REMOTE_ADDR","Проверить REMOTE_ADDR"
"Validate HTTP_VIA","Проверить HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Проверить HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Проверить HTTP_USER_AGENT"
"Use SID on Storefront","Использовать идентификатор сеанса (SID) в пользовательской части"
"Allows customers to stay logged in when switching between different stores.","Позволяет клиенту оставаться авторизованным при переключении между различными магазинами."
"Cache Type","Тип кэша"
Description,Описание
Tags,Метки
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Ошибка 404</h1><p>Страница не найдена.</p>"
"Community Edition","Community Edition"
"Default Theme","Шаблон по умолчанию"
"Applied Theme","Applied Theme"
"If no value is specified, the system default is used. The system default may be modified by third party extensions.","If no value is specified, the system default is used. The system default may be modified by third party extensions."
"Design Rule","Design Rule"
"User Agent Rules","Правила User Agent"
Magento_Ui/js/dynamic-rows/record,Magento_Ui/js/dynamic-rows/record
Pagination,"Переключение страниц"
"Pagination Frame","Блок переключения страниц"
"How many links to display at once.","Количество одновременно отображаемых ссылок."
"Pagination Frame Skip","Разбивка блока переключения страниц"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value."
"Anchor Text for Previous","Текст ссылки Предыдущая страница"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used."
"Anchor Text for Next","Текст ссылки Следующая страница"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used."
"Theme Name","Theme Name"
"Deployment config file %1 is not writable.","Deployment config file %1 is not writable."
"System Backup","Резервная копия системы"
"Database and Media Backup","Резервная копия БД и Медиа"
"Database Backup","Резервная копия БД"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Архив может быть распакован при помощи <a href=""%1"">%2</a> на системах с Windows."
"You need more permissions to activate maintenance mode right now.","У вас не хватает прав для активации режима обслуживания прямо сейчас."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Чтобы создать резервную копию, пожалуйста, снимите выбор с пункта ""Перевести магазин в режим обслуживания"" или обновите ваши права доступа."
